barrels08,city08,city08U,co2TailpipeGpm,comb08,comb08U,cylinders,displ,drive,engId,feScore,fuelCost08,fuelType,fuelType1,ghgScore,highway08,highway08U,id,make,model,mpgData,phevBlended,trany,UCity,UHighway,VClass,year,youSaveSpend,baseModel,createdOn,modifiedOn,startStop,average_mpg
10.25896551724138,25,25.0677,305.0,29,29.0523,4.0,2.5,Front-Wheel Drive,6,7,1600.0,Regular,Regular Gasoline,7,36,36.0574,33399,Mazda,6,Y,False,Manual 6-spd,32.4042,52.7451,Midsize Cars,2014,250.0,6,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,N,30.5
9.917,26,26.1074,295.0,30,30.0228,4.0,2.5,Front-Wheel Drive,7,8,1500.0,Regular,Regular Gasoline,8,37,36.761,33400,Mazda,6,Y,False,Automatic (S6),33.9088,53.9111,Midsize Cars,2014,750.0,6,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,N,31.5
11.018888888888888,25,24.5074,328.0,27,27.0631,4.0,2.5,Front-Wheel Drive,1,7,1700.0,Regular,Regular Gasoline,7,31,31.0162,33401,Mazda,CX-5 2WD,Y,False,Automatic (S6),31.5991,44.5607,Small Sport Utility Vehicle 2WD,2014,-250.0,CX-5,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,N,28.0
10.25896551724138,26,25.9637,306.0,29,28.9587,4.0,2.0,Front-Wheel Drive,3,7,1600.0,Regular,Regular Gasoline,7,34,33.7116,33402,Mazda,CX-5 2WD,Y,False,Manual 6-spd,33.7,48.9,Small Sport Utility Vehicle 2WD,2014,250.0,CX-5,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,N,30.0
10.625357142857142,26,26.2719,311.0,28,28.4304,4.0,2.0,Front-Wheel Drive,4,7,1650.0,Regular,Regular Gasoline,7,32,31.6039,33403,Mazda,CX-5 2WD,N,False,Automatic (S6),34.1482,45.4998,Small Sport Utility Vehicle 2WD,2014,,CX-5,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,N,29.0
11.442692307692308,24,23.8717,340.0,26,26.1136,4.0,2.5,4-Wheel Drive,2,7,1750.0,Regular,Regular Gasoline,7,29,29.4998,33404,Mazda,CX-5 4WD,Y,False,Automatic (S6),30.6908,42.1557,Small Sport Utility Vehicle 4WD,2014,-500.0,CX-5,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,N,26.5
11.018888888888888,25,25.2729,324.0,27,27.307,4.0,2.0,4-Wheel Drive,5,7,1700.0,Regular,Regular Gasoline,7,30,30.2863,33405,Mazda,CX-5 4WD,Y,False,Automatic (S6),32.7,43.4,Small Sport Utility Vehicle 4WD,2014,-250.0,CX-5,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,N,27.5
13.52318181818182,19,18.5595,403.0,22,22.0347,6.0,3.7,Rear-Wheel Drive,214,5,2100.0,Regular,Regular Gasoline,5,29,28.574,33406,Ford,Mustang,Y,False,Manual 6-spd,23.3,40.7,Subcompact Cars,2014,-2250.0,Mustang,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,N,24.0
12.935217391304349,19,19.2053,386.0,23,23.0301,6.0,3.7,Rear-Wheel Drive,215,6,2000.0,Regular,Regular Gasoline,6,30,30.4395,33407,Ford,Mustang,Y,False,Automatic 6-spd,24.1798,43.6431,Subcompact Cars,2014,-1750.0,Mustang,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,N,24.5
16.528333333333336,15,15.1851,489.0,18,18.1455,8.0,5.8,Rear-Wheel Drive,217,4,3300.0,Premium,Premium Gasoline,4,24,23.8218,33408,Ford,Mustang,N,False,Manual 6-spd,18.7831,33.3743,Subcompact Cars,2014,-8250.0,Mustang,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,N,19.5
14.8755,18,17.7061,433.0,20,20.4458,8.0,5.0,Rear-Wheel Drive,218,5,2300.0,Regular,Regular Gasoline,5,25,25.2143,33409,Ford,Mustang,Y,False,Automatic 6-spd,22.1449,35.4958,Subcompact Cars,2014,-3250.0,Mustang,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,N,21.5
